rules,support,confidence,lift
"{fruit/vegetable juice,other vegetables} => {root vegetables}",0.006609049,0.314009662,2.880862896
"{cream cheese,whole milk} => {yogurt}",0.006609049,0.401234568,2.876196775
"{other vegetables,pip fruit} => {root vegetables}",0.008134215,0.311284047,2.855856902
"{whipped/sour cream,yogurt} => {tropical fruit}",0.006202339,0.299019608,2.849668453
"{fruit/vegetable juice,root vegetables} => {other vegetables}",0.006609049,0.550847458,2.846865342
"{other vegetables,whole milk} => {root vegetables}",0.023182511,0.309782609,2.842082049
"{whipped/sour cream,yogurt} => {root vegetables}",0.006405694,0.308823529,2.833283033
"{citrus fruit,whole milk} => {tropical fruit}",0.009049314,0.296666667,2.827244832
"{onions,whole milk} => {other vegetables}",0.006609049,0.546218487,2.822942104
"{pork,whole milk} => {root vegetables}",0.006812405,0.30733945,2.819667431
"{fruit/vegetable juice,other vegetables} => {yogurt}",0.008235892,0.391304348,2.80501331
{onions} => {root vegetables},0.009456024,0.304918033,2.797452288
"{frozen vegetables,whole milk} => {root vegetables}",0.006202339,0.303482587,2.784282877
"{root vegetables,whole milk,yogurt} => {other vegetables}",0.007829181,0.538461538,2.782852985
"{citrus fruit,yogurt} => {tropical fruit}",0.006304016,0.291079812,2.774001892
"{root vegetables,tropical fruit} => {yogurt}",0.008134215,0.38647343,2.770383516
"{curd,whole milk} => {yogurt}",0.01006609,0.385214008,2.761355515
"{bottled water,tropical fruit} => {yogurt}",0.007117438,0.384615385,2.757064364
"{citrus fruit,whole milk} => {root vegetables}",0.009150991,0.3,2.75233209
"{butter,whole milk} => {root vegetables}",0.008235892,0.298892989,2.742175883
"{other vegetables,yogurt} => {root vegetables}",0.012913066,0.297423888,2.7286977
"{pip fruit,whole milk} => {root vegetables}",0.008947636,0.297297297,2.727536305
"{frozen vegetables,root vegetables} => {other vegetables}",0.006100661,0.526315789,2.720081865
"{other vegetables,whipped/sour cream} => {root vegetables}",0.008540925,0.295774648,2.713566849
"{pip fruit,root vegetables} => {other vegetables}",0.008134215,0.522875817,2.702303552
"{bottled beer,whole milk} => {bottled water}",0.006100661,0.298507463,2.70084719
"{other vegetables,yogurt} => {tropical fruit}",0.012302999,0.283372365,2.700549625
"{whipped/sour cream,whole milk} => {root vegetables}",0.009456024,0.293375394,2.69155504
"{root vegetables,whipped/sour cream} => {yogurt}",0.006405694,0.375,2.688137755
"{rolls/buns,soda} => {sausage}",0.00965938,0.25198939,2.682159794
"{pip fruit,whole milk} => {tropical fruit}",0.008439248,0.280405405,2.672274382
"{root vegetables,shopping bags} => {other vegetables}",0.006609049,0.515873016,2.666111987
"{pork,root vegetables} => {other vegetables}",0.00701576,0.514925373,2.661214422
"{butter,root vegetables} => {other vegetables}",0.006609049,0.511811024,2.645118979
"{domestic eggs,root vegetables} => {other vegetables}",0.007320793,0.510638298,2.63905815
"{other vegetables,rolls/buns} => {root vegetables}",0.012201322,0.286396181,2.627524668
"{other vegetables,shopping bags} => {root vegetables}",0.006609049,0.285087719,2.615520261
"{domestic eggs,whole milk} => {root vegetables}",0.008540925,0.284745763,2.612383
"{tropical fruit,whole milk} => {root vegetables}",0.011997966,0.283653846,2.602365277
"{tropical fruit,whole milk,yogurt} => {other vegetables}",0.007625826,0.503355705,2.601420576
{grapes} => {tropical fruit},0.006100661,0.272727273,2.59910148
"{rolls/buns,root vegetables} => {other vegetables}",0.012201322,0.50209205,2.594889813
"{bottled water,other vegetables} => {root vegetables}",0.00701576,0.282786885,2.594411396
"{root vegetables,whipped/sour cream} => {other vegetables}",0.008540925,0.5,2.584077772
"{root vegetables,yogurt} => {other vegetables}",0.012913066,0.5,2.584077772
"{other vegetables,whipped/sour cream} => {tropical fruit}",0.007829181,0.271126761,2.583848537
"{butter,whipped/sour cream} => {whole milk}",0.006710727,0.66,2.583008357
"{whole milk,yogurt} => {tropical fruit}",0.015149975,0.270417423,2.577088521
{pip fruit} => {tropical fruit},0.020437214,0.27016129,2.574647568
"{tropical fruit,whole milk} => {yogurt}",0.015149975,0.358173077,2.567516189
"{tropical fruit,yogurt} => {root vegetables}",0.008134215,0.277777778,2.548455638
"{rolls/buns,tropical fruit} => {yogurt}",0.008744281,0.355371901,2.54743633
"{curd,other vegetables} => {yogurt}",0.006100661,0.355029586,2.54498249
"{fruit/vegetable juice,whole milk} => {yogurt}",0.009456024,0.354961832,2.544496806
"{whipped/sour cream,yogurt} => {other vegetables}",0.010167768,0.490196078,2.53340958
"{other vegetables,whipped/sour cream} => {yogurt}",0.010167768,0.352112676,2.524073009
"{rolls/buns,root vegetables,whole milk} => {other vegetables}",0.006202339,0.488,2.522059905
"{butter,yogurt} => {whole milk}",0.009354347,0.638888889,2.500386877
"{butter,root vegetables} => {whole milk}",0.008235892,0.637795276,2.496106859
"{fruit/vegetable juice,tropical fruit} => {other vegetables}",0.006609049,0.481481481,2.488371188
"{curd,tropical fruit} => {whole milk}",0.006507372,0.633663366,2.479936016
"{chicken,whole milk} => {other vegetables}",0.008439248,0.479768786,2.479519712
"{other vegetables,root vegetables} => {tropical fruit}",0.012302999,0.259656652,2.474537961
"{other vegetables,tropical fruit} => {yogurt}",0.012302999,0.342776204,2.457145748
"{soda,yogurt} => {bottled water}",0.007422471,0.271375465,2.455361265
{herbs} => {other vegetables},0.007727504,0.475,2.454873883
"{root vegetables,whole milk} => {other vegetables}",0.023182511,0.474012474,2.449770195
"{frozen vegetables,whole milk} => {other vegetables}",0.00965938,0.472636816,2.44266058
"{butter,tropical fruit} => {whole milk}",0.006202339,0.62244898,2.436046842
"{butter,whole milk} => {yogurt}",0.009354347,0.339483395,2.433541682
"{other vegetables,tropical fruit,yogurt} => {whole milk}",0.007625826,0.619834711,2.425815511
"{rolls/buns,yogurt} => {tropical fruit}",0.008744281,0.25443787,2.424802761
"{other vegetables,root vegetables,whole milk} => {yogurt}",0.007829181,0.337719298,2.42089599
"{whipped/sour cream,whole milk} => {yogurt}",0.010879512,0.337539432,2.419606644
"{citrus fruit,whole milk} => {yogurt}",0.010269446,0.336666667,2.41335034
"{pip fruit,tropical fruit} => {other vegetables}",0.009456024,0.462686567,2.391236147
"{bottled water,other vegetables} => {tropical fruit}",0.006202339,0.25,2.38250969
"{whole milk,yogurt} => {root vegetables}",0.014539908,0.259528131,2.381025341
"{domestic eggs,tropical fruit} => {whole milk}",0.006914082,0.607142857,2.376144051
"{other vegetables,root vegetables,yogurt} => {whole milk}",0.007829181,0.606299213,2.372842322
{onions} => {other vegetables},0.014234875,0.459016393,2.372268119
"{sausage,whole milk} => {root vegetables}",0.007727504,0.258503401,2.371624023
"{pork,whole milk} => {other vegetables}",0.010167768,0.458715596,2.370713552
"{rolls/buns,whipped/sour cream} => {other vegetables}",0.006710727,0.458333333,2.368737958
"{beef,root vegetables} => {other vegetables}",0.007930859,0.456140351,2.357404283
"{root vegetables,sausage} => {other vegetables}",0.006812405,0.455782313,2.355553887
"{bottled water,other vegetables} => {yogurt}",0.008134215,0.327868852,2.350284376
{sliced cheese} => {yogurt},0.008032537,0.32780083,2.349796765
"{whipped/sour cream,whole milk} => {other vegetables}",0.014641586,0.454258675,2.34767949
"{citrus fruit,tropical fruit} => {other vegetables}",0.009049314,0.454081633,2.346764507
"{pip fruit,yogurt} => {other vegetables}",0.008134215,0.451977401,2.335889511
"{domestic eggs,root vegetables} => {whole milk}",0.008540925,0.595744681,2.331535589
{chicken} => {root vegetables},0.010879512,0.253554502,2.326220644
{curd} => {yogurt},0.017285206,0.324427481,2.325615361
"{pip fruit,whole milk} => {other vegetables}",0.013523132,0.449324324,2.322177998
"{other vegetables,sausage} => {root vegetables}",0.006812405,0.252830189,2.319575472
"{bottled water,root vegetables} => {other vegetables}",0.00701576,0.448051948,2.315602159
"{other vegetables,soda} => {root vegetables}",0.008235892,0.251552795,2.3078561
{oil} => {root vegetables},0.00701576,0.25,2.293610075
"{butter,other vegetables} => {yogurt}",0.006405694,0.319796954,2.292422045
"{other vegetables,sugar} => {whole milk}",0.006304016,0.58490566,2.289115467
"{root vegetables,soda} => {other vegetables}",0.008235892,0.442622951,2.287544257
{berries} => {yogurt},0.010574479,0.318042813,2.279847719
"{curd,yogurt} => {whole milk}",0.01006609,0.582352941,2.27912502
"{pip fruit,whole milk} => {yogurt}",0.009557702,0.317567568,2.276440982
"{fruit/vegetable juice,yogurt} => {other vegetables}",0.008235892,0.440217391,2.275111951
"{soda,tropical fruit} => {yogurt}",0.006609049,0.317073171,2.272896964
"{citrus fruit,whipped/sour cream} => {whole milk}",0.006304016,0.579439252,2.267721865
"{citrus fruit,tropical fruit} => {yogurt}",0.006304016,0.316326531,2.267544773
"{butter,yogurt} => {other vegetables}",0.006405694,0.4375,2.26106805
"{pip fruit,root vegetables} => {whole milk}",0.008947636,0.575163399,2.250987675
"{beef,whole milk} => {other vegetables}",0.009252669,0.435406699,2.250249543
"{pip fruit,tropical fruit} => {yogurt}",0.006405694,0.313432836,2.246801706
{root vegetables} => {other vegetables},0.0473818,0.434701493,2.246604929
"{curd,other vegetables} => {whole milk}",0.009862735,0.573964497,2.246295594
"{butter,other vegetables} => {whole milk}",0.011489578,0.573604061,2.244884974
"{tropical fruit,whipped/sour cream} => {whole milk}",0.007930859,0.573529412,2.244592823
{cream cheese} => {yogurt},0.012404677,0.312820513,2.24241235
"{other vegetables,root vegetables,tropical fruit} => {whole milk}",0.00701576,0.570247934,2.23175027
"{other vegetables,pip fruit} => {yogurt}",0.008134215,0.311284047,2.231398396
"{curd,root vegetables} => {whole milk}",0.006202339,0.570093458,2.231145706
"{root vegetables,tropical fruit} => {whole milk}",0.011997966,0.570048309,2.230969009
"{napkins,whole milk} => {yogurt}",0.006100661,0.309278351,2.217020829
"{hamburger meat,whole milk} => {other vegetables}",0.006304016,0.427586207,2.209832026
"{citrus fruit,whole milk} => {other vegetables}",0.013014743,0.426666667,2.205079699
"{root vegetables,yogurt} => {whole milk}",0.014539908,0.562992126,2.203353585
{butter milk} => {yogurt},0.008540925,0.305454545,2.18961039
"{tropical fruit,yogurt} => {other vegetables}",0.012302999,0.420138889,2.171343128
"{frankfurter,yogurt} => {whole milk}",0.006202339,0.554545455,2.170296278
"{root vegetables,whipped/sour cream} => {whole milk}",0.009456024,0.553571429,2.166484282
"{sugar,whole milk} => {other vegetables}",0.006304016,0.418918919,2.165038133
"{frankfurter,whole milk} => {yogurt}",0.006202339,0.301980198,2.164704991
"{other vegetables,sausage} => {yogurt}",0.008134215,0.301886792,2.164035425
"{domestic eggs,other vegetables} => {whole milk}",0.012302999,0.552511416,2.162335763
"{sausage,soda} => {rolls/buns}",0.00965938,0.39748954,2.161033512
{chicken} => {other vegetables},0.017895272,0.417061611,2.155439279
"{butter,whole milk} => {other vegetables}",0.011489578,0.41697417,2.154987367
{soft cheese} => {other vegetables},0.007117438,0.416666667,2.153398143
"{pork,rolls/buns} => {whole milk}",0.006202339,0.54954955,2.150744059
{hamburger meat} => {other vegetables},0.013828165,0.415902141,2.149446954
"{sausage,yogurt} => {other vegetables}",0.008134215,0.414507772,2.14224064
"{frozen vegetables,whole milk} => {yogurt}",0.006100661,0.298507463,2.139811148
{baking powder} => {other vegetables},0.007320793,0.413793103,2.138547122
"{other vegetables,whole milk} => {yogurt}",0.022267412,0.297554348,2.132978871
"{root vegetables,whole milk} => {yogurt}",0.014539908,0.297297297,2.131136238
"{rolls/buns,root vegetables} => {yogurt}",0.007219115,0.29707113,2.129514986
"{frozen vegetables,other vegetables} => {whole milk}",0.00965938,0.542857143,2.124552328
"{fruit/vegetable juice,root vegetables} => {whole milk}",0.006507372,0.542372881,2.122657098
"{domestic eggs,whole milk} => {other vegetables}",0.012302999,0.410169492,2.119819732
"{domestic eggs,yogurt} => {whole milk}",0.007727504,0.539007092,2.109484581
"{bottled water,rolls/buns} => {yogurt}",0.007117438,0.294117647,2.108343337
"{cream cheese,whole milk} => {other vegetables}",0.006710727,0.407407407,2.105544851
"{margarine,rolls/buns} => {whole milk}",0.007930859,0.537931034,2.105273269
"{other vegetables,pastry} => {yogurt}",0.006609049,0.292792793,2.098846295
"{sausage,whole milk} => {yogurt}",0.008744281,0.292517007,2.09686936
"{frozen vegetables,root vegetables} => {whole milk}",0.006202339,0.535087719,2.094145531
"{rolls/buns,whipped/sour cream} => {whole milk}",0.007829181,0.534722222,2.092715104
{grapes} => {other vegetables},0.009049314,0.404545455,2.090753834
"{tropical fruit,whole milk} => {other vegetables}",0.017081851,0.403846154,2.087139739
"{cream cheese,yogurt} => {whole milk}",0.006609049,0.532786885,2.085140874
{whipped/sour cream} => {other vegetables},0.028876462,0.402836879,2.081923652
"{pip fruit,yogurt} => {whole milk}",0.009557702,0.531073446,2.078435075
"{margarine,whole milk} => {yogurt}",0.00701576,0.289915966,2.078224147
{whipped/sour cream} => {yogurt},0.020742247,0.289361702,2.074250977
"{beef,whole milk} => {yogurt}",0.006100661,0.28708134,2.057904502
"{whole milk,yogurt} => {other vegetables}",0.022267412,0.397459165,2.054130788
"{whipped/sour cream,yogurt} => {whole milk}",0.010879512,0.524509804,2.052747283
"{rolls/buns,root vegetables} => {whole milk}",0.01270971,0.523012552,2.046887565
{baking powder} => {whole milk},0.009252669,0.522988506,2.046793456
"{beef,yogurt} => {whole milk}",0.006100661,0.52173913,2.041903839
"{fruit/vegetable juice,whole milk} => {other vegetables}",0.010472801,0.393129771,2.031755805
"{sausage,tropical fruit} => {whole milk}",0.007219115,0.518248175,2.028241466
"{other vegetables,pip fruit} => {whole milk}",0.013523132,0.517509728,2.025351441
"{tropical fruit,yogurt} => {whole milk}",0.015149975,0.517361111,2.024769808
"{pastry,yogurt} => {whole milk}",0.009150991,0.517241379,2.02430122
"{citrus fruit,root vegetables} => {whole milk}",0.009150991,0.517241379,2.02430122
"{root vegetables,sausage} => {whole milk}",0.007727504,0.517006803,2.023383169
"{brown bread,whole milk} => {yogurt}",0.007117438,0.282258065,2.023329493
"{bottled water,whole milk} => {yogurt}",0.00965938,0.281065089,2.014777805
"{other vegetables,yogurt} => {whole milk}",0.022267412,0.512880562,2.007234512
{tropical fruit} => {yogurt},0.029283172,0.279069767,2.000474608
{hard cheese} => {other vegetables},0.009456024,0.385892116,1.99435048
{meat} => {other vegetables},0.009964413,0.385826772,1.994012769
"{other vegetables,rolls/buns,root vegetables} => {whole milk}",0.006202339,0.508333333,1.989438254
"{pastry,tropical fruit} => {whole milk}",0.006710727,0.507692308,1.986929505
"{other vegetables,whipped/sour cream} => {whole milk}",0.014641586,0.507042254,1.984385421
"{fruit/vegetable juice,yogurt} => {whole milk}",0.009456024,0.505434783,1.978094344
"{margarine,whole milk} => {other vegetables}",0.009252669,0.382352941,1.976059473
"{pastry,whole milk} => {yogurt}",0.009150991,0.275229358,1.972945141
"{rolls/buns,whole milk} => {yogurt}",0.015556685,0.274685817,1.96904884
"{beef,rolls/buns} => {whole milk}",0.006812405,0.5,1.956824513
"{pork,root vegetables} => {whole milk}",0.006812405,0.5,1.956824513
"{brown bread,other vegetables} => {whole milk}",0.009354347,0.5,1.956824513
"{other vegetables,root vegetables} => {yogurt}",0.012913066,0.272532189,1.953610843
"{curd,whole milk} => {other vegetables}",0.009862735,0.377431907,1.950626801
"{fruit/vegetable juice,other vegetables} => {whole milk}",0.010472801,0.497584541,1.947371254
{butter} => {whole milk},0.027554652,0.497247706,1.946053001
{beef} => {other vegetables},0.01972547,0.375968992,1.943066232
{pork} => {other vegetables},0.021657346,0.375661376,1.941476421
"{napkins,yogurt} => {whole milk}",0.006100661,0.495867769,1.940652409
"{other vegetables,rolls/buns} => {yogurt}",0.011489578,0.269689737,1.933235108
"{pastry,yogurt} => {other vegetables}",0.006609049,0.373563218,1.930632818
"{margarine,yogurt} => {whole milk}",0.00701576,0.492857143,1.928869877
"{bottled beer,whole milk} => {other vegetables}",0.007625826,0.373134328,1.928416248
"{butter,rolls/buns} => {whole milk}",0.006609049,0.492424242,1.927175656
"{frozen vegetables,yogurt} => {whole milk}",0.006100661,0.491803279,1.924745422
{curd} => {whole milk},0.026131164,0.490458015,1.919480533
"{frankfurter,whole milk} => {other vegetables}",0.007625826,0.371287129,1.918869633
"{brown bread,whole milk} => {other vegetables}",0.009354347,0.370967742,1.917218992
{butter milk} => {other vegetables},0.010371124,0.370909091,1.916915874
"{brown bread,yogurt} => {whole milk}",0.007117438,0.48951049,1.91577225
"{other vegetables,root vegetables} => {whole milk}",0.023182511,0.489270386,1.91483257
"{cream cheese,other vegetables} => {whole milk}",0.006710727,0.488888889,1.913339523
{frozen vegetables} => {other vegetables},0.017793594,0.369978858,1.912108288
{cat food} => {yogurt},0.006202339,0.266375546,1.909477765
{sliced cheese} => {other vegetables},0.009049314,0.369294606,1.908571964
{dessert} => {yogurt},0.009862735,0.265753425,1.905018172
{flour} => {whole milk},0.008439248,0.485380117,1.899607422
{butter} => {yogurt},0.014641586,0.264220183,1.894027336
"{citrus fruit,other vegetables} => {yogurt}",0.007625826,0.264084507,1.893054757
{citrus fruit} => {yogurt},0.021657346,0.261670762,1.875752144
"{soda,whole milk} => {yogurt}",0.010472801,0.26142132,1.873964053
{hard cheese} => {yogurt},0.006405694,0.261410788,1.87388856
{flour} => {other vegetables},0.006304016,0.362573099,1.873834174
{butter} => {other vegetables},0.020030503,0.36146789,1.868122279
"{coffee,other vegetables} => {whole milk}",0.006405694,0.477272727,1.867877944
"{other vegetables,tropical fruit} => {whole milk}",0.017081851,0.47592068,1.862586505
{herbs} => {whole milk},0.007727504,0.475,1.858983287
"{citrus fruit,yogurt} => {whole milk}",0.010269446,0.474178404,1.855767848
{fruit/vegetable juice} => {yogurt},0.018708693,0.258790436,1.855104911
"{bottled water,yogurt} => {soda}",0.007422471,0.32300885,1.852356872
"{rolls/buns,shopping bags} => {soda}",0.006304016,0.322916667,1.851828231
{domestic eggs} => {whole milk},0.029994916,0.47275641,1.850202664
{pickled vegetables} => {other vegetables},0.006405694,0.357954545,1.849964769
{frozen vegetables} => {yogurt},0.012404677,0.257928118,1.848923502
{ham} => {yogurt},0.006710727,0.2578125,1.848094707
"{domestic eggs,whole milk} => {yogurt}",0.007727504,0.257627119,1.846765825
"{napkins,other vegetables} => {whole milk}",0.006812405,0.471830986,1.846580878
"{bottled beer,other vegetables} => {whole milk}",0.007625826,0.471698113,1.846060861
"{chicken,other vegetables} => {whole milk}",0.008439248,0.471590909,1.845641302
"{other vegetables,pork} => {whole milk}",0.010167768,0.469483568,1.837393908
"{bottled water,soda} => {yogurt}",0.007422471,0.256140351,1.836108127
"{beef,other vegetables} => {whole milk}",0.009252669,0.469072165,1.835783821
"{margarine,other vegetables} => {whole milk}",0.009252669,0.469072165,1.835783821
{oil} => {other vegetables},0.009964413,0.355072464,1.835069722
"{other vegetables,pastry} => {whole milk}",0.010574479,0.468468468,1.833421165
"{bottled water,root vegetables} => {whole milk}",0.007320793,0.467532468,1.829757986
"{bottled water,yogurt} => {other vegetables}",0.008134215,0.353982301,1.829435591
"{other vegetables,soda} => {yogurt}",0.00833757,0.254658385,1.825484852
"{curd,yogurt} => {other vegetables}",0.006100661,0.352941176,1.824054898
{detergent} => {whole milk},0.008947636,0.465608466,1.822228117
"{citrus fruit,yogurt} => {other vegetables}",0.007625826,0.352112676,1.819773079
"{onions,other vegetables} => {whole milk}",0.006609049,0.464285714,1.817051333
{ham} => {other vegetables},0.009150991,0.3515625,1.816929683
{domestic eggs} => {other vegetables},0.022267412,0.350961538,1.813823821
"{frankfurter,other vegetables} => {whole milk}",0.007625826,0.462962963,1.811874549
"{rolls/buns,sausage} => {soda}",0.00965938,0.315614618,1.809953217
"{beef,root vegetables} => {whole milk}",0.008032537,0.461988304,1.808060076
{citrus fruit} => {other vegetables},0.028876462,0.348894349,1.803140263
"{soda,whole milk} => {other vegetables}",0.013929842,0.347715736,1.797049009
"{soda,tropical fruit} => {other vegetables}",0.007219115,0.346341463,1.789946554
{cream cheese} => {other vegetables},0.013726487,0.346153846,1.788976919
{pip fruit} => {other vegetables},0.026131164,0.345430108,1.785236525
"{other vegetables,sausage} => {rolls/buns}",0.008845958,0.328301887,1.784880628
"{napkins,whole milk} => {other vegetables}",0.006812405,0.345360825,1.784878461
"{hamburger meat,other vegetables} => {whole milk}",0.006304016,0.455882353,1.784163526
"{margarine,whole milk} => {rolls/buns}",0.007930859,0.327731092,1.781777388
"{citrus fruit,tropical fruit} => {whole milk}",0.009049314,0.454081633,1.777116139
{frankfurter} => {rolls/buns},0.019217082,0.325862069,1.771616058
"{rolls/buns,yogurt} => {whole milk}",0.015556685,0.452662722,1.77156302
{sausage} => {rolls/buns},0.030604982,0.325757576,1.771047959
"{coffee,whole milk} => {other vegetables}",0.006405694,0.342391304,1.769531518
{tropical fruit} => {other vegetables},0.035892222,0.342054264,1.767789639
"{citrus fruit,other vegetables} => {whole milk}",0.013014743,0.450704225,1.763898152
{whipped/sour cream} => {whole milk},0.032231825,0.44964539,1.759754242
"{sausage,whole milk} => {other vegetables}",0.010167768,0.340136054,1.757876035
{root vegetables} => {whole milk},0.048906965,0.44869403,1.756030952
"{rolls/buns,tropical fruit} => {whole milk}",0.01098119,0.446280992,1.746587168
"{sausage,yogurt} => {whole milk}",0.008744281,0.445595855,1.743905783
"{beef,whole milk} => {rolls/buns}",0.006812405,0.320574163,1.742867269
"{pip fruit,rolls/buns} => {whole milk}",0.006202339,0.445255474,1.742573653
{margarine} => {other vegetables},0.01972547,0.336805556,1.740663499
{sugar} => {whole milk},0.015048297,0.444444444,1.739399567
{hamburger meat} => {whole milk},0.014743264,0.443425076,1.735410118
"{bottled water,tropical fruit} => {other vegetables}",0.006202339,0.335164835,1.732184001
"{rolls/buns,yogurt} => {other vegetables}",0.011489578,0.334319527,1.727815315
{ham} => {whole milk},0.011489578,0.44140625,1.72750914
{soft cheese} => {whole milk},0.007524148,0.44047619,1.723869213
{detergent} => {other vegetables},0.006405694,0.333333333,1.722718515
{sliced cheese} => {whole milk},0.010777834,0.439834025,1.721356003
"{soda,yogurt} => {rolls/buns}",0.008642603,0.31598513,1.717918051
"{root vegetables,soda} => {whole milk}",0.008134215,0.43715847,1.71088482
"{sausage,whole milk} => {rolls/buns}",0.009354347,0.31292517,1.70128195
"{bottled water,other vegetables} => {whole milk}",0.010777834,0.43442623,1.70019179
"{bottled water,tropical fruit} => {whole milk}",0.008032537,0.434065934,1.69878172
{sliced cheese} => {rolls/buns},0.007625826,0.31120332,1.691920756
"{newspapers,other vegetables} => {whole milk}",0.00833757,0.431578947,1.689048527
{white bread} => {other vegetables},0.013726487,0.326086957,1.685268112
"{newspapers,yogurt} => {whole milk}",0.006609049,0.430463576,1.684683355
"{citrus fruit,rolls/buns} => {whole milk}",0.007219115,0.43030303,1.684055035
"{bottled water,yogurt} => {rolls/buns}",0.007117438,0.309734513,1.683935289
{curd} => {other vegetables},0.017183528,0.322519084,1.666828792
"{other vegetables,soda} => {whole milk}",0.013929842,0.425465839,1.665123964
{frozen vegetables} => {whole milk},0.020437214,0.424947146,1.663093983
{candy} => {soda},0.008642603,0.289115646,1.657989727
{processed cheese} => {whole milk},0.00701576,0.423312883,1.656698054
"{domestic eggs,rolls/buns} => {whole milk}",0.006609049,0.422077922,1.651864848
{sugar} => {other vegetables},0.010777834,0.318318318,1.645118582
"{bottled water,yogurt} => {whole milk}",0.00965938,0.420353982,1.645117953
"{rolls/buns,tropical fruit} => {other vegetables}",0.007829181,0.318181818,1.644413128
"{other vegetables,rolls/buns} => {whole milk}",0.017895272,0.420047733,1.6439194
"{pastry,whole milk} => {other vegetables}",0.010574479,0.318042813,1.64369473
"{other vegetables,soda} => {rolls/buns}",0.009862735,0.301242236,1.63776528
"{rolls/buns,whole milk} => {other vegetables}",0.017895272,0.315978456,1.633025809
{cream cheese} => {whole milk},0.016471784,0.415384615,1.625669595
"{tropical fruit,yogurt} => {rolls/buns}",0.008744281,0.298611111,1.623460629
{butter milk} => {whole milk},0.011591256,0.414545455,1.622385414
"{bottled water,whole milk} => {other vegetables}",0.010777834,0.313609467,1.620782508
{margarine} => {whole milk},0.024199288,0.413194444,1.617098035
"{pip fruit,tropical fruit} => {whole milk}",0.008439248,0.412935323,1.616083926
"{bottled water,rolls/buns} => {soda}",0.006812405,0.281512605,1.614388613
{dessert} => {other vegetables},0.011591256,0.312328767,1.614163649
{yogurt} => {other vegetables},0.04341637,0.31122449,1.608456572
"{shopping bags,whole milk} => {other vegetables}",0.007625826,0.31120332,1.608347161
{hard cheese} => {whole milk},0.01006609,0.410788382,1.60768155
{chicken} => {whole milk},0.017590239,0.409952607,1.604410619
"{bottled water,other vegetables} => {rolls/buns}",0.007320793,0.295081967,1.604273713
{berries} => {other vegetables},0.010269446,0.308868502,1.596280459
"{pastry,rolls/buns} => {whole milk}",0.008540925,0.40776699,1.595856884
"{shopping bags,whole milk} => {soda}",0.006812405,0.278008299,1.594292489
{white bread} => {whole milk},0.017081851,0.405797101,1.58814743
{pasta} => {whole milk},0.006100661,0.405405405,1.58661447
{beef} => {whole milk},0.021250635,0.40503876,1.585179547
{tropical fruit} => {whole milk},0.042297916,0.403100775,1.577594956
"{newspapers,whole milk} => {other vegetables}",0.00833757,0.304832714,1.57542288
"{soda,yogurt} => {other vegetables}",0.00833757,0.304832714,1.57542288
